date,count
2020-01-02,2
2020-01-03,2
2020-01-04,2
2020-01-15,4
2020-01-16,4
2020-01-17,7
2020-01-18,17
2020-01-19,14
2020-01-20,17
2020-01-21,24
2020-01-22,17
2020-01-23,21
2020-01-24,24
2020-01-25,40
2020-01-26,11
2020-01-27,28
2020-01-28,42
2020-01-29,41
2020-01-30,38
2020-01-31,49
2020-02-01,65
2020-02-02,25
2020-02-03,50
2020-02-04,39
2020-02-05,46
2020-02-06,52
2020-02-07,52
2020-02-08,66
2020-02-09,36
2020-02-10,63
2020-02-11,61
2020-02-12,51
2020-02-13,58
2020-02-14,66
2020-02-15,80
2020-02-16,33
2020-02-17,58
2020-02-18,65
2020-02-19,76
2020-02-20,68
2020-02-21,89
2020-02-22,130
2020-02-23,56
2020-02-24,187
2020-02-25,192
2020-02-26,169
2020-02-27,142
2020-02-28,136
2020-02-29,152
2020-03-01,29
2020-03-02,106
2020-03-03,120
2020-03-04,125
2020-03-05,138
2020-03-06,158
2020-03-07,175
2020-03-08,72
2020-03-09,113
2020-03-10,126
2020-03-11,142
2020-03-12,147
2020-03-13,148
2020-03-14,153
2020-03-15,74
2020-03-16,117
2020-03-17,92
2020-03-18,88
2020-03-19,88
2020-03-20,106
2020-03-21,132
2020-03-22,67
2020-03-23,123
2020-03-24,104
2020-03-25,111
2020-03-26,105
2020-03-27,107
2020-03-28,124
2020-03-29,72
2020-03-30,107
2020-03-31,98
2020-04-01,81
2020-04-02,70
2020-04-03,76
2020-04-04,90
2020-04-05,29
2020-04-06,146
2020-04-07,157
2020-04-08,161
2020-04-09,176
2020-04-10,166
2020-04-11,282
2020-04-12,96
2020-04-13,136
2020-04-14,251
2020-04-15,239
2020-04-16,237
2020-04-17,242
2020-04-18,246
2020-04-19,38
2020-04-20,68
2020-04-21,71
2020-04-22,86
2020-04-23,96
2020-04-24,112
2020-04-25,117
2020-04-26,57
2020-04-27,166
2020-04-28,160
2020-04-29,167
2020-04-30,180
2020-05-01,149
2020-05-02,257
2020-05-03,65
2020-05-04,145
2020-05-05,135
2020-05-06,139
2020-05-07,151
2020-05-08,167
2020-05-09,178
2020-05-10,82
2020-05-11,164
2020-05-12,183
2020-05-13,201
2020-05-14,198
2020-05-15,202
2020-05-16,219
2020-05-17,107
2020-05-18,241
2020-05-19,263
2020-05-20,259
2020-05-21,256
2020-05-22,366
2020-05-23,385
2020-05-24,163
2020-05-25,247
2020-05-26,253
2020-05-27,239
2020-05-28,248
2020-05-29,268
2020-05-30,312
2020-05-31,129
2020-06-01,162
2020-06-02,333
2020-06-03,339
2020-06-04,342
2020-06-05,348
2020-06-06,358
2020-06-07,202
2020-06-08,336
2020-06-09,336
2020-06-10,361
2020-06-11,336
2020-06-12,427
2020-06-13,420
2020-06-14,95
2020-06-15,235
2020-06-16,242
2020-06-17,239
2020-06-18,241
2020-06-19,249
2020-06-20,260
2020-06-21,121
2020-06-22,221
2020-06-23,223
2020-06-24,224
2020-06-25,238
2020-06-26,229
2020-06-27,256
2020-06-28,147
2020-06-29,241
2020-06-30,226
2020-07-01,186
2020-07-02,199
2020-07-03,208
2020-07-04,233
2020-07-05,117
2020-07-06,256
2020-07-07,251
2020-07-08,248
2020-07-09,255
2020-07-10,270
2020-07-11,287
2020-07-12,147
2020-07-13,265
2020-07-14,283
2020-07-15,271
2020-07-16,293
2020-07-17,285
2020-07-18,324
2020-07-19,159
2020-07-20,245
2020-07-21,241
2020-07-22,259
2020-07-23,276
2020-07-24,289
2020-07-25,308
2020-07-26,150
2020-07-27,279
2020-07-28,288
2020-07-29,288
2020-07-30,288
2020-07-31,295
2020-08-01,307
2020-08-02,178
2020-08-03,297
2020-08-04,304
2020-08-05,299
2020-08-06,292
2020-08-07,328
2020-08-08,357
2020-08-09,227
2020-08-10,356
2020-08-11,373
2020-08-12,379
2020-08-13,407
2020-08-14,426
2020-08-15,326
2020-08-16,222
2020-08-17,407
2020-08-18,398
2020-08-19,395
2020-08-20,416
2020-08-21,426
2020-08-22,468
2020-08-23,289
2020-08-24,410
2020-08-25,418
2020-08-26,414
2020-08-27,426
2020-08-28,432
2020-08-29,464
2020-08-30,307
2020-08-31,422
2020-09-01,386
2020-09-02,365
2020-09-03,363
2020-09-04,365
2020-09-05,370
2020-09-06,155
2020-09-07,293
2020-09-08,312
2020-09-09,300
2020-09-10,319
2020-09-11,345
2020-09-12,371
2020-09-13,195
2020-09-14,312
2020-09-15,319
2020-09-16,320
2020-09-17,323
2020-09-18,360
2020-09-19,364
2020-09-20,190
2020-09-21,288
2020-09-22,267
2020-09-23,272
2020-09-24,283
2020-09-25,291
2020-09-26,324
2020-09-27,188
2020-09-28,324
2020-09-29,323
2020-09-30,331
2020-10-01,358
2020-10-02,372
2020-10-03,229
2020-10-04,183
2020-10-05,311
2020-10-06,329
2020-10-07,322
2020-10-08,316
2020-10-09,341
2020-10-10,347
2020-10-11,155
2020-10-12,279
2020-10-13,285
2020-10-14,290
2020-10-15,318
2020-10-16,323
2020-10-17,317
2020-10-18,152
2020-10-19,221
2020-10-20,229
2020-10-21,233
2020-10-22,237
2020-10-23,243
2020-10-24,269
2020-10-25,111
2020-10-26,240
2020-10-27,244
2020-10-28,256
2020-10-29,254
2020-10-30,274
2020-10-31,270
2020-11-01,92
2020-11-02,303
2020-11-03,302
2020-11-04,311
2020-11-05,307
2020-11-06,324
2020-11-07,321
2020-11-08,154
2020-11-09,246
2020-11-10,232
2020-11-11,236
2020-11-12,251
2020-11-13,254
2020-11-14,293
2020-11-15,162
2020-11-16,259
2020-11-17,297
2020-11-18,290
2020-11-19,309
2020-11-20,309
2020-11-21,326
2020-11-22,168
2020-11-23,259
2020-11-24,255
2020-11-25,243
2020-11-26,255
2020-11-27,267
2020-11-28,272
2020-11-29,129
2020-11-30,267
2020-12-01,281
2020-12-02,275
2020-12-03,274
2020-12-04,282
2020-12-05,295
2020-12-06,193
2020-12-07,264
2020-12-08,278
2020-12-09,276
2020-12-10,256
2020-12-11,283
2020-12-12,291
2020-12-13,139
2020-12-14,200
2020-12-15,202
2020-12-16,201
2020-12-17,192
2020-12-18,212
2020-12-19,238
